"ID","ISDELETED","MASTERRECORDID","NAME","TYPE","RECORDTYPEID","PARENTID","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","BILLINGCOUNTRY","BILLINGSTATECODE","BILLINGCOUNTRYCODE","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGGEOCODEACCURACY","BILLINGADDRESS","SHIPPINGSTREET","SHIPPINGCITY","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGCOUNTRY","SHIPPINGSTATECODE","SHIPPINGCOUNTRYCODE","SHIPPINGLATITUDE","SHIPPINGLONGITUDE","SHIPPINGGEOCODEACCURACY","SHIPPINGADDRESS","PHONE","FAX","ACCOUNTNUMBER","WEBSITE","PHOTOURL","SIC","INDUSTRY","ANNUALREVENUE","NUMBEROFEMPLOYEES","OWNERSHIP","TICKERSYMBOL","DESCRIPTION","RATING","SITE","OWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","LASTVIEWEDDATE","LASTREFERENCEDDATE","JIGSAW","JIGSAWCOMPANYID","ACCOUNTSOURCE","SICDESC","JOB_TITLE__C","VD_ABN__C","VD_ACN__C","VD_ANNUAL_REVENUE__C","VD_DATE_OF_LAST_ENERGY_AUDIT__C","VD_DESCIPTION__C","VD_DO_YOU_USE_AN_ENERGY_BROKER__C","VD_ENERGY_BROKER__C","VD_EXISTING_BANK_FINANCIER__C","VD_FINANCE_SOLUTION_PROVIDER__C","VD_HEAD_OFFICE__C","VD_NO_OF_PROPERTIES__C","VD_TYPE__C","VD_WHEN_WAS_THE_NETWORK_TARIFF_DEMAND__C","I__DAYSSINCELASTMAIL__C","I__LASTINBOUNDMAIL__C","I__LASTINBOUNDSENT__C","I__LASTINBOUNDTIME__C","I__LASTMAILSENT__C","I__LASTMAILTIMEDELTA__C","I__LASTMAILTIME__C","I__LASTMAIL__C","I__LASTOUTBOUNDMAIL__C","I__LASTOUTBOUNDSENT__C","I__LASTOUTBOUNDTIME__C","NUMBER_OF_OPPORTUNITIES__C","UNIQUE_ACCOUNT_NUMBER__C","INCENTIVE_APPROVED__C","ACCOUNT_LEAD_RECORD_TYPE_HIDDEN__C","STATES_WHERE_THE_PARTNER_CAN_WORK__C","INSURANCE_PI__C","INSURANCE_PI_AMOUNT__C","INSURANCE_PI_EXPIRY_DATE__C","INSURANCE_PL__C","INSURANCE_PL_AMOUNT__C","INSURANCE_PL_EXPIRY_DATE__C","PARTNER_REVIEW_DATE__C","ISO_ACCREDITATION_9001_COMPLETED__C","ISO_ACCREDITATION_9001_EXPIRY_DATE__C","ISO_ACCREDITATION_18001_COMPLETED__C","ISO_ACCREDITATION_18001_EXPIRY_DATE__C","ISO_ACCREDITATION_14001_COMPLETED__C","ISO_ACCREDITATION_14001_EXPIRY_DATE__C","ISO_ACCREDITATION_50015_COMPLETED__C","ISO_ACCREDITATION_50015_EXPIRY_DATE__C","SALESPEOPLE_ARE_TRAINED__C","RFQ_EMAIL_ADDRESS__C","XERO_ACCOUNT_ID__C","ACCOUNT_ID__C","ACCOUNTS__C","INDUSTRY_SUB_SECTOR__C","PARTNERS_SOLUTION_TYPE__C","SOLUTIONS_OFFERED_BY_PARTNER__C","PARTNER_SERVICES_OFFERED__C","PARTNER_ROLE_APPROVED_FOR_BY_VERDIA__C","ANNUAL_REVENUE_FY__C","FORECAST_REVENUE_FY__C","FORECAST_REVENUE__C","VD_EMAIL_ADDRESS__C"
"0010K00001aqFl7QAE","false","","Hydco Pty Ltd","","01228000000tlZMAAY","","12 Triumph Avenue","Wangara","Western Australia","6065","Australia","WA","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001aqFl7QAE","","Services","","","","","","","","00528000004yeq1AAA","2017-10-22T22:20:57.000Z","00528000004yeq1AAA","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","2018-01-30","","","","","","","","","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1710-1220","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001aqFl7","1.0","Retail","","","","","","","",""
"0010K00001aqIdrQAE","false","","Andaluz Pty Ltd - Kidz & Co","","01228000000tlZMAAY","","474 Hannan Street","Kalgoorlie","Western Australia","6430","Australia","WA","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001aqIdrQAE","","Services","","","","","","","","00528000004yeq1AAA","2017-10-23T03:36:14.000Z","00528000004yeq1AAA","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","2018-03-20","","","","","","","","","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1710-1221","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001aqIdr","1.0","Retail","","","","","","","",""
"0010K00001aqIn2QAE","false","","Quinglen Ten","","01228000000tlZMAAY","","800 Yaamba Road","Parkhurst","Queensland","4702","Australia","QLD","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001aqIn2QAE","","Services","","","","","","","","00528000003KkJIAA0","2017-10-23T03:57:07.000Z","00528000003KkJIAA0","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","","","","","","","","Business Owner","","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1710-1222","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001aqIn2","1.0","Leisure and Hospitality","","","","","","","",""
"0010K00001aqJv1QAE","false","","Weldalloy Pty Ltd","","01228000000tlZMAAY","","9 General Macarthur Place","Redbank","Queensland","4106","Australia","QLD","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001aqJv1QAE","","Services","","","","","","","","00528000003KkJIAA0","2017-10-23T05:57:07.000Z","00528000003KkJIAA0","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","","","","","","","","","","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1710-1223","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001aqJv1","1.0","Manufacturing & Wholesale","","","","","","","",""
"0010K00001aqZEhQAM","false","","Crisp Bros","","01228000000tlZMAAY","","30 Waterworth","Drive","Tasmania","7054","Australia","TAS","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001aqZEhQAM","","Services","","","","","","","","00528000004yeq1AAA","2017-10-25T03:15:28.000Z","00528000004yeq1AAA","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","","","","","","","","","","","","","Partner is Power Com","","","","","","","Client","","","","","","","","","","","","","1.0","1710-1224","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001aqZEh","1.0","Retail","","","","","","","",""
"0010K00001bZn5CQAS","false","","Virbac Pty Ltd","","01228000000tlZMAAY","","22 Denison Street","Crookwell","New South Wales","2583","Australia","NSW","AU","","","","","","","","","Australia","","AU","","","","","(02) 48321754","","","","/services/images/photo/0010K00001bZn5CQAS","","Services","","","","","","","","00528000004B3GEAA0","2017-10-26T02:09:52.000Z","00528000004B3GEAA0","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","2018-01-30","","","","","","","","","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1710-1225","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001bZn5C","1.0","Retail","","","","","","","",""
"0010K00001bZodEQAS","false","","Erskine Pty Ltd ATFT Morgan Brothers Unit Trust","","01228000000tlZMAAY","","103 Claremont Cresent","Swanbourne","Western Australia","6010","Australia","WA","AU","","","","","","","","","Australia","","AU","","","","","0893842111","","","","/services/images/photo/0010K00001bZodEQAS","","Services","","","","","","","","00528000004B3GEAA0","2017-10-26T05:56:39.000Z","00528000004B3GEAA0","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","","","","","","","","Director","25609117464","","","","","","","","","","","Client","","","","","","","","","","","","","1.0","1710-1226","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001bZodE","1.0","Retail","","","","","","","",""
"0010K00001bZwPAQA0","false","","Redlands","","01228000000tlZMAAY","","272 Military Rd","Cremorne","New South Wales","2090","Australia","NSW","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001bZwPAQA0","","Education","","","","","","","","00528000002vBwYAAU","2017-10-27T01:36:21.000Z","00528000002vBwYAAU","2017-12-12T02:46:11.000Z","00528000002vBwYAAU","2019-03-13T05:19:58.000Z","","","","","","","","CFO","","","","","2 campuses in Neutral Bay and 1 in Jindabyne. 
Masterplan to develop the site phase 1 completed in 2019 second phase improving sprts grouds and arts facility","","","","","","","Client","","","","","","","","","","","","","1.0","1710-1227","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001bZwPA","1.0","Education","","","","","","","",""
"0010K00001bZwPeQAK","false","","Santos","","01228000000tlZMAAY","","169 BONDS ROAD RIVERWOOD NSW 2210","Riverwood","New South Wales","2210","Australia","NSW","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001bZwPeQAK","","Services","","","","","","","","00528000002vBwYAAU","2017-10-27T01:40:03.000Z","00528000002vBwYAAU","2018-10-24T02:25:26.000Z","00528000003tCU2AAM","2019-05-15T03:33:14.000Z","","","","","","","","","","","2.0E7","","5 sites - commercial kitchen (prepacked food preaparation) and roasting (coffee, muesli, nuts)","","","","","","","Client","","","","","","","","","","","","","1.0","1710-1228","","General Business","","","","","","","","","","","","","","","","","","","","0010K00001bZwPe","1.0","Manufacturing & Wholesale","","","","","","","",""
"0010K00001bZwTXQA0","false","","Flower Power","","01228000000tlZMAAY","","","","New South Wales","","Australia","NSW","AU","","","","","","","","","Australia","","AU","","","","","","","","","/services/images/photo/0010K00001bZwTXQA0","","","","","","","","","","00528000002vBwYAAU","2017-10-27T01:54:38.000Z","00528000002vBwYAAU","2017-10-27T01:56:03.000Z","00528000002vBwYAAU","2017-10-28T18:38:39.000Z","","","","","","","","","","","","","12 garden center - warehouse","","","St George","","","","","","","","","","","","","","","","","1.0","1710-1229","","","","","","","","","","","","","","","","","","","","","","0010K00001bZwTX","1.0","","","","","","","","",""
